date,open,high,low,close,cvd
2025-05-26,109040.4,110352.0,108780.0,109468.6,69476.432937
2025-05-27,109468.6,110742.6,107600.0,109004.9,69368.088728
2025-05-28,109004.9,109250.0,106805.1,107811.7,69198.776321
2025-05-29,107811.7,108888.0,105348.4,105632.4,68175.351412
2025-05-30,105632.5,106333.8,103641.3,104019.7,67191.612043
2025-05-31,104019.7,104933.2,103169.0,104662.0,67547.519302
2025-06-01,104662.0,105879.7,103850.0,105712.4,68029.326381
2025-06-02,105712.4,105927.2,103737.7,105920.3,68972.305333
2025-06-03,105920.4,106820.0,104984.1,105446.0,68587.515090
2025-06-04,105446.0,106000.0,104279.0,104745.4,68306.698439
2025-06-05,104745.4,105948.1,100400.0,101579.7,67304.126672
2025-06-06,101579.7,105360.1,101211.5,104376.0,67765.167588
2025-06-07,104376.0,105929.0,104000.1,105654.5,68117.142417
2025-06-08,105654.6,106477.0,105082.3,105754.2,68096.394552
2025-06-09,105754.2,110550.0,105392.3,110280.0,69228.758561
2025-06-10,110280.0,110373.0,108342.2,110273.6,70293.306561
2025-06-11,110273.6,110411.0,108139.5,108702.0,69884.436893
2025-06-12,108701.9,108790.2,105760.0,105760.1,68372.391648
2025-06-13,105760.1,106137.5,102812.3,106122.3,70462.229747
2025-06-14,106122.3,106172.3,104400.0,105479.4,70547.865331
2025-06-15,105479.4,106090.0,104529.0,105581.4,70664.531003
2025-06-16,105581.5,108924.6,105019.3,106800.1,70558.043950
2025-06-17,106800.1,107725.1,103400.0,104622.4,69971.907324
2025-06-18,104622.5,105529.9,103567.6,104892.0,70254.725117
2025-06-19,104891.9,105226.5,103931.6,104675.2,70421.779746
2025-06-20,104675.2,106470.0,102388.9,103292.0,69835.455251
2025-06-21,103300.0,103995.5,100933.5,102144.0,69638.902695
2025-06-22,102153.0,103380.5,98277.2,100987.9,69784.217484
2025-06-23,100987.9,106022.4,99700.0,105382.0,71885.373650
2025-06-24,105382.1,106309.1,104777.0,106100.0,73027.200028
2025-06-25,106100.0,108165.5,105888.2,107360.0,73540.499282
2025-06-26,107360.0,108289.0,106677.4,106945.0,72970.294478
2025-06-27,106945.1,107712.1,106477.2,107115.4,72991.857251
2025-06-28,107115.4,107544.2,106918.4,107325.1,73119.602172
2025-06-29,107325.1,108460.7,107228.2,108387.2,73560.239523
2025-06-30,108387.3,108792.0,106800.0,107120.3,72688.543595
2025-07-01,107120.3,107540.2,105312.0,105700.1,71670.013560
2025-07-02,105700.1,109794.7,105116.4,108846.9,72583.683068
2025-07-03,108846.9,110547.2,108600.0,109631.0,72655.445280
2025-07-04,109631.0,109746.6,107299.9,108018.9,72339.234506
2025-07-05,108018.9,108379.0,107829.7,108249.5,72425.182893
2025-07-06,108249.5,109650.0,107825.2,109223.2,72653.953063
2025-07-07,109223.2,109700.0,107520.3,108282.1,72443.101301
2025-07-08,108282.1,109199.3,107500.0,108931.9,72884.957562
2025-07-09,108932.0,112000.0,108375.3,111323.7,73822.849582
2025-07-10,111323.7,116800.0,110600.0,115990.2,75398.077844
2025-07-11,115990.2,118818.4,115212.5,117532.6,75917.969382
2025-07-12,117532.6,118235.6,116977.1,117461.0,75799.884011
2025-07-13,117461.0,119499.0,117277.3,119102.1,76366.205433
2025-07-14,119102.2,123140.0,118961.2,119855.0,75045.064802
2025-07-15,119855.0,119900.0,115712.2,117741.0,74977.701839
2025-07-16,117741.0,120049.5,117094.0,118712.6,75088.225447
2025-07-17,118712.6,120999.6,117527.0,119321.0,75125.943845
2025-07-18,119321.0,120833.7,116929.6,118011.9,74589.498523
2025-07-19,118011.9,118550.0,117382.5,117909.1,74559.073033
2025-07-20,117909.1,118867.0,116600.0,117319.1,74345.861073
2025-07-21,117319.0,119630.4,116623.7,117461.0,73873.920484
2025-07-22,117461.0,120237.5,116260.0,119977.5,74966.247864
2025-07-23,119977.5,120100.0,117411.0,118735.3,74949.888090
2025-07-24,118735.3,119489.8,117316.0,118386.9,74935.947581
2025-07-25,118387.5,118452.0,114733.1,117628.1,75832.628775
2025-07-26,117628.1,118276.6,117197.6,117937.5,76003.012661
2025-07-27,117937.6,119793.4,117863.8,119455.0,76355.705417
2025-07-28,119455.1,119779.9,117425.9,117979.7,75909.624527
2025-07-29,117979.7,119200.0,117000.0,117923.0,75765.940495
2025-07-30,117916.9,118749.4,115800.0,117820.7,76141.089911
2025-07-31,117820.7,118918.9,115500.0,115762.3,75221.254031
2025-08-01,115762.4,116000.0,112688.1,113290.2,73972.565220
2025-08-02,113290.1,114008.2,112000.0,112525.2,73544.568780
2025-08-03,112525.2,114742.9,111897.1,114224.1,73916.016100
2025-08-04,114224.1,115700.0,114137.1,115092.1,74119.526944
2025-08-05,115092.1,115092.1,112629.7,114115.0,74292.856500
2025-08-06,114115.0,115713.6,113400.0,115010.0,74584.814001
2025-08-07,115010.0,117643.3,114280.0,117498.1,75470.116369
2025-08-08,117498.1,117663.0,115946.0,116676.0,75374.463430
2025-08-09,116676.0,117869.4,116282.1,116467.4,74839.075897
2025-08-10,116467.4,119288.4,116467.3,119288.4,75982.114024
2025-08-11,119288.4,122273.5,118100.0,118724.5,74522.178439
2025-08-12,118724.5,120303.2,118255.0,120172.0,75494.224449
2025-08-13,120172.1,123724.7,118918.3,123354.3,77747.986198
2025-08-14,123354.3,124420.0,117250.0,118383.1,75383.225408
2025-08-15,118383.1,119312.7,116560.9,117426.7,74908.312494
2025-08-16,117426.7,117947.4,117284.0,117487.5,74782.498747
2025-08-17,117487.5,118550.2,117295.3,117441.3,74443.820980
2025-08-18,117441.3,117593.3,114715.9,116260.0,74536.911765
2025-08-19,116259.9,116766.0,112750.0,112830.3,73025.833670
2025-08-20,112830.4,114612.1,112400.0,114262.7,73881.936598
2025-08-21,114273.8,114738.6,112036.0,112462.5,73356.924160
2025-08-22,112475.0,117354.0,111676.0,116817.9,74736.381536
2025-08-23,116817.9,116975.0,114551.1,115344.1,74499.677739
2025-08-24,115344.1,115530.9,110692.2,113456.1,74677.001932
2025-08-25,113456.1,113619.8,109304.8,110144.9,73139.179765
2025-08-26,110145.0,112395.6,108734.6,111829.3,74064.690367
2025-08-27,111829.3,112603.4,110434.3,111268.6,73809.242693
2025-08-28,111268.6,113457.9,110902.6,112563.7,74206.110112
2025-08-29,112563.7,112570.0,107505.0,108400.1,73100.622191
2025-08-30,108400.1,108926.8,107352.6,108750.0,73736.102422
